order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,delivery_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status,hub_name,zone,hub_type,capacity_score,complaint_count,total_compensation,avg_resolution_days,incident_count,avg_resolved_hours,is_failed,has_complaint,has_incident,cost_per_km,high_risk_delivery
O00001,C0292,Passenger,2024-08-20 14:43:00,6,Airport,South,Medium,126.65,App,0,DL00937,D047,V090,H01,2024-08-20 16:29:00,2024-08-20 18:52:56.172161,OnTime,26.65,2.0,0.0,4.29,15.82,24,South,Consumer,2025-03-02 11:24:00,73.2,57.9,App,Active,North Exchange,North,Dispatch,82.0,0.0,0.0,,0.0,,0,0,0,0.5936210131332083,0
O00002,C0459,Passenger,2024-05-14 22:16:00,24,North,Airport,Low,109.3,App,0,,,,,,,,,,,,,20,West,Consumer,2024-09-23 21:00:00,56.1,62.6,App,Dormant,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00003,C0161,Passenger,2025-09-02 14:37:00,4,West,Airport,High,33.5,Phone,0,DL00925,D041,V100,H02,2025-09-02 16:59:00,2025-09-03 01:50:39.644673,Delayed,13.04,2.0,0.0,3.7,13.16,42,North,Consumer,2024-06-07 22:41:00,87.1,36.6,App,Active,South Link,South,Dispatch,78.0,1.0,8.66,2.0,0.0,,0,1,0,1.0092024539877302,1
O00004,C0520,Parcel,2025-01-11 17:15:00,2,Riverside,North,Medium,10.04,App,1,DL00002,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,OnTime,10.34,1.0,0.0,5.0,13.41,50,North,Consumer,2025-04-21 07:28:00,53.6,80.4,Partner API,Active,South Link,South,Dispatch,78.0,0.0,0.0,,0.0,,0,0,0,1.2969052224371374,0
O00005,C0558,Retail,2025-02-17 19:32:00,12,Riverside,South,Low,125.58,Phone,0,DL00671,D054,V073,H03,2025-02-17 20:23:00,2025-02-18 08:05:00.047082,OnTime,16.01,1.0,0.0,4.38,13.53,23,South,Consumer,2024-06-29 19:47:00,64.3,38.5,Phone,Active,East Dock,East,Warehouse,74.0,1.0,54.41,8.0,0.0,,0,1,0,0.8450968144909431,1
O00006,C0437,Retail,2024-08-05 04:55:00,1,Central,East,High,151.44,Web,1,,,,,,,,,,,,,51,Airport,Consumer,2025-04-16 19:57:00,50.7,49.3,App,Active,,,,,0.0,0.0,,0.0,,0,0,0,,0
O00007,C0001,Business,2024-05-05 21:32:00,2,Central,Airport,Low,76.12,App,0,DL00120,D128,V047,H06,2024-05-05 22:10:00,2024-05-06 07:05:17.555250,Delayed,9.07,1.0,1.0,3.93,9.76,26,North,SME,2024-11-27 04:25:00,44.9,69.2,App,Active,Airport Hub,Airport,Dispatch,71.0,1.0,43.9,22.0,0.0,,0,1,0,1.076074972436604,1
O00008,C0157,Parcel,2024-04-03 17:54:00,4,Riverside,Riverside,Medium,35.06,Phone,0,DL00201,D036,V041,H03,2024-04-03 20:22:00,2024-04-03 20:46:56.611810,OnTime,14.08,0.0,0.0,5.0,12.87,50,Central,Consumer,2025-03-28 10:04:00,67.9,46.8,App,Active,East Dock,East,Warehouse,74.0,1.0,15.77,8.0,0.0,,0,1,0,0.9140624999999999,1
O00009,C0141,Retail,2024-10-03 23:49:00,12,North,East,Critical,78.93,App,0,DL00042,D146,V020,H01,2024-10-04 01:05:00,2024-10-04 10:49:54.333414,OnTime,12.02,0.0,0.0,4.45,11.41,37,West,Consumer,2024-05-03 17:03:00,29.6,32.1,Partner API,Dormant,North Exchange,North,Dispatch,82.0,0.0,0.0,,1.0,28.0,0,0,1,0.9492512479201332,1
O00010,C0171,Retail,2025-01-29 00:42:00,6,South,North,Low,34.55,Phone,0,DL00032,D045,V010,H08,2025-01-29 02:58:00,2025-01-29 05:57:46.344204,OnTime,15.58,1.0,0.0,4.23,13.75,47,South,Consumer,2024-01-20 10:35:00,82.4,81.9,Phone,Active,Midtown Relay,Central,Charging,63.0,0.0,0.0,,1.0,5.2,0,0,1,0.8825417201540436,1
O00011,C0340,Parcel,2025-08-04 04:19:00,12,West,Central,Low,79.1,Phone,0,,,,,,,,,,,,,43,East,Consumer,2025-03-18 09:54:00,34.7,26.3,App,Active,,,,,1.0,26.35,4.0,0.0,,0,1,0,,1
O00012,C0567,Business,2024-01-16 12:45:00,12,East,Airport,Medium,135.67,App,0,DL00606,D075,V112,H04,2024-01-16 13:32:00,2024-01-16 23:32:34.302064,OnTime,13.39,0.0,0.0,4.12,13.11,74,East,Consumer,2024-02-18 04:31:00,79.7,64.9,App,Active,West Gate,West,Dispatch,69.0,1.0,22.73,13.0,0.0,,0,1,0,0.9790888722927557,1
O00013,C0234,Retail,2024-03-29 22:11:00,24,Airport,Central,Medium,302.7,App,0,DL00236,D163,V009,H07,2024-03-29 22:48:00,2024-03-30 20:39:02.394303,OnTime,20.12,2.0,0.0,3.74,17.02,71,North,Consumer,2024-03-27 18:33:00,54.1,74.6,App,Active,Riverside Hub,Riverside,Warehouse,66.0,1.0,0.0,10.0,0.0,,0,1,0,0.8459244532803181,1
O00014,C0318,Passenger,2024-08-25 10:12:00,6,Ctr,Ctr,Low,90.96,Phone,0,DL00441,D141,V068,H01,2024-08-25 12:01:00,2024-08-25 15:01:44.356021,OnTime,8.82,0.0,0.0,4.7,7.36,48,West,Consumer,2025-05-09 17:42:00,68.2,71.0,App,Dormant,North Exchange,North,Dispatch,82.0,0.0,0.0,,0.0,,0,0,0,0.8344671201814059,0
